ID,Nombre,Descripción,Número de Serie,ID Personalizado de Activo,Categoría Principal,Subcategoría,Uso Específico,Parque,Amenidad,Descripción de Ubicación,Latitud,Longitud,Fabricante,Modelo,Número de Serie Técnico,Material,Dimensiones/Capacidad,Fecha de Instalación,Fecha de Última Inspección,Vida Útil Estimada (años),Estado,Condición,Historial de Mantenimiento,Fecha de Adquisición,Costo de Adquisición (MXN),Valor Actual (MXN),Fuente de Financiamiento,Persona Responsable,Área Asignada,URL Manual de Mantenimiento,Políticas de Uso,Frecuencia de Mantenimiento,Fecha de Último Mantenimiento,Fecha de Próximo Mantenimiento,Vida Útil Esperada (meses),Código QR,Notas Adicionales,Fecha de Creación,Última Actualización
123563,Camión grúa,Camión grúa vehículo para levantar cargas.,6650,,Vehículos y maquinaria,Maquinaria,,Parque Cultural Higalguense,,,20.09493696,-98.77239353,SafeCity,HydroX,SN-31715,Madera,35 m²,04/08/23,19/03/23,25,Retirado,Malo,,20/07/20,16702,6458,Concesión,Ana Torres,Jardinería,http://manuales.parques.org/infraestructura.pdf,Uso comunitario con previa reservación.,,16/06/22,13/12/22,120,,Revisión anual obligatoria.,03/12/16,09/09/25 23:20
123564,Pulverizadora de agua,Pulverizadora de agua máquina para riego especializado.,6651,,Vehículos y maquinaria,Maquinaria,,Parque Ecológico Explora,,,21.1215,-101.682,GreenBuild,X100,SN-45889,Madera,92 m²,02/10/19,14/08/22,25,Activo,Bueno,,26/12/22,215472,108302,Presupuesto municipal,Ana Torres,Eventos,http://manuales.parques.org/mobiliario.pdf,Uso comunitario con previa reservación.,,27/09/22,22/09/23,12,,Revisión anual obligatoria.,16/05/18,09/09/25 23:20
123565,Carro de mantenimiento,Carro de mantenimiento vehículo para servicios internos.,6652,,Vehículos y maquinaria,Vehículos de trabajo,,Parque Fundidora,,,25.675,-100.286,EcoPark Systems,SafePlay,SN-79907,Plástico,112 m²,22/12/22,02/12/23,25,En Mantenimiento,Excelente,,20/05/20,337413,256247,Ingreso propio,María López,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Uso comunitario con previa reservación.,,14/11/22,13/05/23,60,,Activo en óptimas condiciones.,09/07/20,09/09/25 23:20
123566,Banca de concreto,Banca de concreto asiento fijo resistente.,6653,,Mobiliario urbano,Bancas y mesas,,Bosque de Chapultepec,,,19.4204,-99.1819,PlayTech,SafePlay,SN-72830,Plástico,120 m²,09/04/24,10/08/22,5,Dañado,Regular,,12/03/16,498592,345015,Concesión,Carlos Sánchez,Eventos,http://manuales.parques.org/deportivo.pdf,Uso exclusivo dentro del parque.,,31/05/24,27/11/24,36,,Activo en óptimas condiciones.,23/12/20,09/09/25 23:20
123567,Banca metálica,Banca metálica mobiliario urbano de acero.,6654,,Mobiliario urbano,Bancas y mesas,,Parque Tangamanga I,,,22.144,-101.019,UrbanPlay,UrbanMax,SN-30085,Acero,19 m²,07/08/23,02/03/23,10,Retirado,Malo,,19/08/21,118003,104251,Ingreso propio,Juan Pérez,Administración,http://manuales.parques.org/deportivo.pdf,Cumplir normas de seguridad vigentes.,,18/04/23,12/04/24,36,,Revisión anual obligatoria.,24/11/19,09/09/25 23:20
123568,Banca de madera,Banca de madera asiento clásico de parque.,6655,,Mobiliario urbano,Bancas y mesas,,Parque Metropolitano de Guadalajara,,,20.7167,-103.45,SafeCity,UrbanMax,SN-93984,Mixto,26 m²,03/11/21,20/09/25,5,Activo,Bueno,,26/07/19,41950,16366,Presupuesto municipal,Carlos Sánchez,Administración,http://manuales.parques.org/mantenimientoX.pdf,Uso comunitario con previa reservación.,,29/05/21,20/11/22,24,,Pendiente de reposición de piezas menores.,14/04/16,09/09/25 23:20
123569,Banca inclusiva,Banca inclusiva banco con espacio accesible.,6656,,Mobiliario urbano,Bancas y mesas,,Parque Bicentenario,,,19.478,-99.198,GreenBuild,EcoFlex,SN-13811,Acero,8 m²,29/06/22,29/08/24,10,En Mantenimiento,Excelente,,13/01/15,66840,39984,Donación,Luis Romero,Seguridad,http://manuales.parques.org/infraestructura.pdf,Uso comunitario con previa reservación.,,12/09/21,06/03/23,24,,Activo en óptimas condiciones.,18/05/18,09/09/25 23:20
123570,Banca circular,Banca circular estructura alrededor de árbol.,6657,,Mobiliario urbano,Bancas y mesas,,Parque La Mexicana,,,19.36,-99.28,UrbanPlay,UrbanMax,SN-56550,Mixto,31 m²,12/07/21,29/01/22,25,Dañado,Regular,,16/07/18,261439,219549,Ingreso propio,Sofía Vargas,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Uso exclusivo dentro del parque.,,23/05/21,19/11/21,36,,Revisión anual obligatoria.,20/03/18,09/09/25 23:20
123571,Banca plegable,Banca plegable asiento portátil temporal.,6658,,Mobiliario urbano,Bancas y mesas,,Parque Rufino Tamayo,,,25.65,-100.36,UrbanPlay,GreenLife,SN-45803,Madera,68 m²,30/01/24,07/06/24,5,Retirado,Malo,,20/02/20,415097,167282,Donación,Juan Pérez,Jardinería,http://manuales.parques.org/deportivo.pdf,Restringido en horarios nocturnos.,,25/04/24,17/10/25,60,,Revisión anual obligatoria.,16/12/15,09/09/25 23:20
123572,Banca moderna,Banca moderna diseño contemporáneo urbano.,6659,,Mobiliario urbano,Bancas y mesas,,Parque Central Ciudad Juárez,,,20.99,-89.63,UrbanPlay,HydroX,SN-10985,Plástico,59 m²,25/11/24,07/03/22,10,Activo,Bueno,,11/10/22,305074,229614,Presupuesto municipal,Carlos Sánchez,Eventos,http://manuales.parques.org/deportivo.pdf,Permitido solo con supervisión de personal.,,16/03/24,11/03/25,120,,Activo en óptimas condiciones.,17/04/20,09/09/25 23:20
123573,Banca de piedra,Banca de piedra asiento rústico resistente.,6660,,Mobiliario urbano,Bancas y mesas,,Parque Guanajuato Bicentenario,,,21.02,-89.65,CityInfra,HydroX,SN-51533,Plástico,14 m²,27/05/19,27/03/23,5,En Mantenimiento,Excelente,,11/09/15,388175,280460,Presupuesto municipal,María López,Seguridad,http://manuales.parques.org/mobiliario.pdf,Permitido solo con supervisión de personal.,,01/02/21,27/01/22,24,,Requiere inspección adicional en temporada de lluvias.,15/05/15,09/09/25 23:20
123574,Banca con respaldo,Banca con respaldo asiento ergonómico fijo.,6661,,Mobiliario urbano,Bancas y mesas,,Parque el Capitán,,,25.66521872,-100.360811,UrbanPlay,X100,SN-60729,Plástico,33 m²,29/01/20,28/08/23,10,Dañado,Regular,,05/08/17,165165,56682,Concesión,María López,Operación,http://manuales.parques.org/deportivo.pdf,Uso exclusivo dentro del parque.,,23/07/24,14/01/26,120,,Plan de mejora programado.,29/03/17,09/09/25 23:20
123575,Banca unipersonal,Banca unipersonal asiento individual urbano.,6662,,Mobiliario urbano,Bancas y mesas,,Parque Metropolitano de León,,,31.72,-106.43,PlayTech,SafePlay,SN-16758,Plástico,72 m²,12/08/22,28/09/25,20,Retirado,Malo,,03/05/22,475805,230360,Donación,Sofía Vargas,Mantenimiento,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,09/08/22,05/02/23,12,,Requiere inspección adicional en temporada de lluvias.,17/03/19,09/09/25 23:20
123576,Bote metálico,Bote metálico contenedor resistente para residuos.,6663,,Mobiliario urbano,Contenedores,,Gran Parque La Plancha,,,20.97844437,-89.61172739,SafeCity,X100,SN-47002,Plástico,44 m²,06/07/25,31/05/23,10,Activo,Bueno,,23/11/20,384429,303856,Donación,Carlos Sánchez,Administración,http://manuales.parques.org/infraestructura.pdf,Restringido en horarios nocturnos.,,21/06/24,18/12/24,12,,Plan de mejora programado.,24/03/19,09/09/25 23:20
123577,Bote plástico,Bote plástico depósito ligero de basura.,6664,,Mobiliario urbano,Contenedores,,Bosque Los Colomos,,,20.70504496,-103.3902293,GreenBuild,EcoFlex,SN-16303,Madera,81 m²,19/11/23,24/01/22,20,En Mantenimiento,Excelente,,17/01/19,98544,46606,Patrocinio,Luis Romero,Mantenimiento,http://manuales.parques.org/mantenimientoX.pdf,Uso exclusivo dentro del parque.,,21/01/22,20/07/22,60,,Revisión anual obligatoria.,30/03/19,09/09/25 23:20
123578,Bote orgánico,Bote orgánico contenedor para desechos biodegradables.,6665,,Mobiliario urbano,Contenedores,,Parque Las Ribieras ,,,24.82111084,-107.4005941,CityInfra,UrbanMax,SN-85520,Plástico,168 m²,26/05/22,25/11/23,15,Dañado,Regular,,04/11/22,303524,211297,Ingreso propio,Sofía Vargas,Mantenimiento,http://manuales.parques.org/mobiliario.pdf,Cumplir normas de seguridad vigentes.,,04/10/22,29/09/23,36,,Requiere inspección adicional en temporada de lluvias.,30/01/18,09/09/25 23:20
123579,Bote inorgánico,Bote inorgánico contenedor para residuos generales.,6666,,Mobiliario urbano,Contenedores,,Jardín Botánico de Culiacán,,,24.82376,-107.384967,SafeCity,UrbanMax,SN-94135,Acero,27 m²,11/03/25,23/11/24,25,Retirado,Malo,,03/11/22,405911,185390,Presupuesto municipal,Carlos Sánchez,Seguridad,http://manuales.parques.org/deportivo.pdf,Cumplir normas de seguridad vigentes.,,07/03/22,29/08/23,12,,Pendiente de reposición de piezas menores.,29/06/17,09/09/25 23:20
123580,Bote PET,Bote PET recipiente para reciclaje plástico.,6667,,Mobiliario urbano,Contenedores,,Parque Flor del Bosque,,,19.0211,-98.1011,GreenBuild,HydroX,SN-56538,Mixto,57 m²,30/03/22,22/10/25,15,Activo,Bueno,,23/02/17,244083,135526,Presupuesto municipal,María López,Operación,http://manuales.parques.org/deportivo.pdf,Uso exclusivo dentro del parque.,,21/01/22,15/07/23,24,,Revisión anual obligatoria.,22/08/19,09/09/25 23:20
123581,Contenedor soterrado,Contenedor soterrado depósito subterráneo para basura.,6668,,Mobiliario urbano,Contenedores,,Parque Cultural Higalguense,,,20.09493696,-98.77239353,UrbanPlay,X100,SN-42144,Plástico,103 m²,23/04/23,16/12/25,20,En Mantenimiento,Excelente,,04/08/19,334588,116562,Concesión,María López,Administración,http://manuales.parques.org/mobiliario.pdf,Uso comunitario con previa reservación.,,16/02/20,10/02/21,60,,Pendiente de reposición de piezas menores.,07/12/20,09/09/25 23:20
123582,Bote antivandálico,Bote antivandálico recipiente reforzado contra daños.,6669,,Mobiliario urbano,Contenedores,,Parque Ecológico Explora,,,21.1215,-101.682,EcoPark Systems,EcoFlex,SN-60815,Plástico,126 m²,30/05/23,29/06/25,25,Dañado,Regular,,25/01/18,59774,30959,Concesión,Luis Romero,Administración,http://manuales.parques.org/deportivo.pdf,Uso comunitario con previa reservación.,,07/01/21,06/07/21,24,,Plan de mejora programado.,07/03/19,09/09/25 23:20
123583,Bote con pedal,Bote con pedal basurero con apertura manual.,6670,,Mobiliario urbano,Contenedores,,Parque Fundidora,,,25.675,-100.286,SafeCity,ProLine,SN-12235,Acero,99 m²,04/04/20,26/06/22,10,Retirado,Malo,,06/07/16,464579,154205,Patrocinio,María López,Jardinería,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,31/08/21,26/08/22,24,,Activo en óptimas condiciones.,02/12/20,09/09/25 23:20
123584,Bote artístico,Bote artístico contenedor con diseño estético.,6671,,Mobiliario urbano,Contenedores,,Bosque de Chapultepec,,,19.4204,-99.1819,AquaSolutions,EcoFlex,SN-74687,Madera,151 m²,30/01/21,13/11/25,10,Activo,Bueno,,20/02/22,112757,84117,Concesión,Luis Romero,Seguridad,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,31/07/23,21/01/25,24,,Revisión anual obligatoria.,10/10/17,09/09/25 23:20
123585,Bote con sensor,Bote con sensor recipiente inteligente automatizado.,6672,,Mobiliario urbano,Contenedores,,Parque Tangamanga I,,,22.144,-101.019,AquaSolutions,UrbanMax,SN-44681,Madera,191 m²,10/12/23,03/02/23,10,En Mantenimiento,Excelente,,10/08/19,60655,53223,Patrocinio,Luis Romero,Mantenimiento,http://manuales.parques.org/mobiliario.pdf,Uso comunitario con previa reservación.,,25/05/23,21/11/23,12,,Activo en óptimas condiciones.,04/08/20,09/09/25 23:20
123586,Mesa de madera,Mesa de madera mesa rústica para picnic.,6673,,Mobiliario urbano,Bancas y mesas,,Parque Metropolitano de Guadalajara,,,20.7167,-103.45,GreenBuild,SafePlay,SN-90398,Plástico,83 m²,18/12/24,12/11/23,10,Dañado,Regular,,12/12/19,126367,74389,Presupuesto municipal,Carlos Sánchez,Jardinería,http://manuales.parques.org/deportivo.pdf,Permitido solo con supervisión de personal.,,30/12/20,28/06/21,36,,Requiere inspección adicional en temporada de lluvias.,28/10/20,09/09/25 23:20
123587,Mesa de concreto,Mesa de concreto mesa robusta exterior.,6674,,Mobiliario urbano,Bancas y mesas,,Parque Bicentenario,,,19.478,-99.198,CityInfra,ProLine,SN-54410,Acero,70 m²,29/08/25,16/01/22,25,Retirado,Malo,,19/12/16,426367,223984,Patrocinio,Juan Pérez,Eventos,http://manuales.parques.org/infraestructura.pdf,Permitido solo con supervisión de personal.,,11/12/21,06/12/22,36,,Plan de mejora programado.,24/05/15,09/09/25 23:20
123588,Mesa metálica,Mesa metálica superficie duradera para comer.,6675,,Mobiliario urbano,Bancas y mesas,,Parque La Mexicana,,,19.36,-99.28,UrbanPlay,GreenLife,SN-38007,Mixto,20 m²,15/01/25,29/05/24,10,Activo,Bueno,,10/07/15,206581,131076,Presupuesto municipal,Ana Torres,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Permitido solo con supervisión de personal.,,22/03/21,17/03/22,36,,Requiere inspección adicional en temporada de lluvias.,04/03/17,09/09/25 23:20
123589,Mesa con sombrilla,Mesa con sombrilla mesa con sombra integrada.,6676,,Mobiliario urbano,Bancas y mesas,,Parque Rufino Tamayo,,,25.65,-100.36,AquaSolutions,ProLine,SN-58169,Plástico,184 m²,21/01/23,01/09/23,10,En Mantenimiento,Excelente,,03/01/15,5578,2514,Concesión,Ana Torres,Seguridad,http://manuales.parques.org/infraestructura.pdf,Permitido solo con supervisión de personal.,,20/05/24,16/11/24,120,,Requiere inspección adicional en temporada de lluvias.,04/01/18,09/09/25 23:20
123590,Mesa accesible,Mesa accesible mesa adaptada para sillas.,6677,,Mobiliario urbano,Bancas y mesas,,Parque Central Ciudad Juárez,,,20.99,-89.63,EcoPark Systems,HydroX,SN-18435,Acero,91 m²,19/01/22,23/08/23,20,Dañado,Regular,,12/11/19,325483,191046,Concesión,Sofía Vargas,Eventos,http://manuales.parques.org/mantenimientoX.pdf,Restringido en horarios nocturnos.,,05/03/23,01/09/23,60,,Pendiente de reposición de piezas menores.,17/02/17,09/09/25 23:20
123591,Mesa plegable,Mesa plegable mesa portátil de parque.,6678,,Mobiliario urbano,Bancas y mesas,,Parque Guanajuato Bicentenario,,,21.02,-89.65,GreenBuild,GreenLife,SN-27932,Plástico,75 m²,26/04/21,09/11/22,5,Retirado,Malo,,07/08/16,445473,399530,Concesión,Ana Torres,Jardinería,http://manuales.parques.org/mantenimientoX.pdf,Uso comunitario con previa reservación.,,10/07/23,04/07/24,24,,Revisión anual obligatoria.,07/10/16,09/09/25 23:20
123592,Mesa circular,Mesa circular mesa redonda comunitaria.,6679,,Mobiliario urbano,Bancas y mesas,,Parque el Capitán,,,25.66521872,-100.360811,UrbanPlay,EcoFlex,SN-98644,Madera,181 m²,11/08/21,09/12/25,20,Activo,Bueno,,21/08/17,87761,46359,Concesión,Ana Torres,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Cumplir normas de seguridad vigentes.,,19/07/23,15/01/24,60,,Revisión anual obligatoria.,28/03/16,09/09/25 23:20
123593,Mesa con bancas,Mesa con bancas mesa integrada multifuncional.,6680,,Mobiliario urbano,Bancas y mesas,,Parque Metropolitano de León,,,31.72,-106.43,CityInfra,X100,SN-49178,Plástico,58 m²,02/11/22,05/02/22,15,En Mantenimiento,Excelente,,08/06/16,13234,11511,Ingreso propio,María López,Jardinería,http://manuales.parques.org/mobiliario.pdf,Uso exclusivo dentro del parque.,,03/12/21,28/11/22,120,,Pendiente de reposición de piezas menores.,16/10/15,09/09/25 23:20
123594,Mesa de acero,Mesa de acero mesa duradera anticorrosión.,6681,,Mobiliario urbano,Bancas y mesas,,Gran Parque La Plancha,,,20.97844437,-89.61172739,AquaSolutions,UrbanMax,SN-54655,Mixto,150 m²,14/09/21,12/07/23,15,Dañado,Regular,,26/10/18,293289,231265,Concesión,Sofía Vargas,Operación,http://manuales.parques.org/deportivo.pdf,Cumplir normas de seguridad vigentes.,,21/06/24,16/06/25,36,,Activo en óptimas condiciones.,25/12/19,09/09/25 23:20
123595,Mesa de bambú,Mesa de bambú mesa ecológica ligera.,6682,,Mobiliario urbano,Bancas y mesas,,Bosque Los Colomos,,,20.70504496,-103.3902293,UrbanPlay,GreenLife,SN-48469,Madera,129 m²,13/02/19,15/04/24,5,Retirado,Malo,,13/05/21,432076,348053,Concesión,Sofía Vargas,Jardinería,http://manuales.parques.org/mobiliario.pdf,Permitido solo con supervisión de personal.,,30/12/20,28/06/21,60,,Plan de mejora programado.,20/02/18,09/09/25 23:20
123596,Señal de reglamento,Señal de reglamento cartel con normas básicas.,6683,,Infraestructura básica,Señalética,,Parque Las Ribieras ,,,24.82111084,-107.4005941,SafeCity,SafePlay,SN-84603,Mixto,45 m²,28/05/22,28/02/22,15,Activo,Bueno,,23/04/22,269899,142425,Donación,Carlos Sánchez,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Cumplir normas de seguridad vigentes.,,26/07/23,20/07/24,60,,Revisión anual obligatoria.,08/09/18,09/09/25 23:20
123597,Señal direccional,Señal direccional señal para orientar visitantes.,6684,,Infraestructura básica,Señalética,,Jardín Botánico de Culiacán,,,24.82376,-107.384967,CityInfra,ProLine,SN-72100,Plástico,152 m²,15/06/25,07/02/25,25,En Mantenimiento,Excelente,,03/12/17,116937,77862,Ingreso propio,Juan Pérez,Jardinería,http://manuales.parques.org/infraestructura.pdf,Restringido en horarios nocturnos.,,04/03/24,27/02/25,60,,Requiere inspección adicional en temporada de lluvias.,24/10/18,09/09/25 23:20
123598,Señal interpretativa,Señal interpretativa panel educativo de flora.,6685,,Infraestructura básica,Señalética,,Parque Flor del Bosque,,,19.0211,-98.1011,SafeCity,UrbanMax,SN-36159,Mixto,6 m²,03/06/18,25/07/24,25,Dañado,Regular,,21/09/21,249381,105771,Concesión,Luis Romero,Eventos,http://manuales.parques.org/mobiliario.pdf,Uso comunitario con previa reservación.,,07/12/21,05/06/22,24,,Activo en óptimas condiciones.,23/10/19,09/09/25 23:20
123599,Señal de emergencia,Señal de emergencia cartel de seguridad vital.,6686,,Infraestructura básica,Señalética,,Parque Cultural Higalguense,,,20.09493696,-98.77239353,CityInfra,GreenLife,SN-98568,Madera,86 m²,25/05/24,04/04/25,10,Retirado,Malo,,30/09/19,20845,13109,Ingreso propio,Ana Torres,Eventos,http://manuales.parques.org/mantenimientoX.pdf,Restringido en horarios nocturnos.,,18/12/22,13/12/23,36,,Activo en óptimas condiciones.,13/10/15,09/09/25 23:20
123600,Señal de acceso,Señal de acceso aviso de entrada restringida.,6687,,Infraestructura básica,Señalética,,Parque Ecológico Explora,,,21.1215,-101.682,EcoPark Systems,EcoFlex,SN-81554,Mixto,55 m²,11/11/23,01/04/23,10,Activo,Bueno,,27/12/19,476023,250485,Ingreso propio,Luis Romero,Eventos,http://manuales.parques.org/mobiliario.pdf,Uso exclusivo dentro del parque.,,25/12/20,23/06/21,60,,Requiere inspección adicional en temporada de lluvias.,06/10/20,09/09/25 23:20
123601,Señal turística,Señal turística letrero de interés cultural.,6688,,Infraestructura básica,Señalética,,Parque Fundidora,,,25.675,-100.286,AquaSolutions,GreenLife,SN-41519,Plástico,182 m²,03/01/24,29/09/25,5,En Mantenimiento,Excelente,,20/04/22,43574,36053,Presupuesto municipal,Ana Torres,Eventos,http://manuales.parques.org/mobiliario.pdf,Permitido solo con supervisión de personal.,,25/03/24,16/09/25,120,,Requiere inspección adicional en temporada de lluvias.,04/05/20,09/09/25 23:20
123602,Señal braille,Señal braille señal inclusiva para invidentes.,6689,,Infraestructura básica,Señalética,,Bosque de Chapultepec,,,19.4204,-99.1819,SafeCity,UrbanMax,SN-50426,Mixto,32 m²,06/05/24,30/10/24,10,Dañado,Regular,,24/03/20,152731,81839,Presupuesto municipal,Sofía Vargas,Operación,http://manuales.parques.org/deportivo.pdf,Permitido solo con supervisión de personal.,,16/04/22,11/04/23,60,,Requiere inspección adicional en temporada de lluvias.,04/07/20,09/09/25 23:20
123603,Señal luminosa,Señal luminosa señal iluminada de advertencia.,6690,,Infraestructura básica,Señalética,,Parque Tangamanga I,,,22.144,-101.019,SafeCity,X100,SN-20644,Madera,75 m²,18/04/22,17/10/22,15,Retirado,Malo,,25/07/19,309066,200128,Concesión,Sofía Vargas,Mantenimiento,http://manuales.parques.org/mobiliario.pdf,Permitido solo con supervisión de personal.,,21/09/21,15/03/23,12,,Activo en óptimas condiciones.,08/07/20,09/09/25 23:20
123604,Señal de velocidad,Señal de velocidad letrero con límite interno.,6691,,Infraestructura básica,Señalética,,Parque Metropolitano de Guadalajara,,,20.7167,-103.45,AquaSolutions,SafePlay,SN-10847,Plástico,199 m²,18/11/22,02/05/23,15,Activo,Bueno,,18/08/21,189039,104240,Ingreso propio,María López,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Cumplir normas de seguridad vigentes.,,14/10/23,11/04/24,36,,Requiere inspección adicional en temporada de lluvias.,02/09/17,09/09/25 23:20
123605,Señal de prohibición,Señal de prohibición cartel de restricción específica.,6692,,Infraestructura básica,Señalética,,Parque Bicentenario,,,19.478,-99.198,PlayTech,EcoFlex,SN-31748,Plástico,126 m²,14/04/18,22/01/24,5,En Mantenimiento,Excelente,,15/02/22,86127,31380,Ingreso propio,María López,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Uso comunitario con previa reservación.,,19/07/20,15/01/21,24,,Plan de mejora programado.,21/03/16,09/09/25 23:20
123606,Aspersores automáticos,Aspersores automáticos sistema programado de riego.,6693,,Recursos hídricos,Infraestructura,,Parque La Mexicana,,,19.36,-99.28,AquaSolutions,X100,SN-64000,Mixto,141 m²,16/04/22,16/05/24,10,Dañado,Regular,,03/03/19,341587,109858,Patrocinio,Carlos Sánchez,Eventos,http://manuales.parques.org/infraestructura.pdf,Restringido en horarios nocturnos.,,09/07/22,04/07/23,120,,Plan de mejora programado.,10/12/17,09/09/25 23:20
123607,Sistema de goteo,Sistema de goteo riego eficiente bajo tierra.,6694,,Recursos hídricos,Infraestructura,,Parque Rufino Tamayo,,,25.65,-100.36,AquaSolutions,SafePlay,SN-26271,Acero,86 m²,28/12/22,07/07/25,10,Retirado,Malo,,12/07/16,377451,146061,Patrocinio,Luis Romero,Seguridad,http://manuales.parques.org/mantenimientoX.pdf,Cumplir normas de seguridad vigentes.,,20/04/22,15/04/23,12,,Revisión anual obligatoria.,21/02/19,09/09/25 23:20
123608,Red hidráulica,Red hidráulica tuberías distribuidoras de agua.,6695,,Áreas recreativas y de juego,Juegos infantiles,,Parque Central Ciudad Juárez,,,20.99,-89.63,GreenBuild,EcoFlex,SN-60328,Mixto,6 m²,24/09/19,15/08/23,15,Activo,Bueno,,26/12/22,109371,56573,Patrocinio,Ana Torres,Eventos,http://manuales.parques.org/deportivo.pdf,Uso comunitario con previa reservación.,,02/01/22,28/12/22,24,,Plan de mejora programado.,09/06/20,09/09/25 23:20
123609,Controlador central,Controlador central panel de control de riego.,6696,,Edificaciones de servicio,Seguridad,,Parque Guanajuato Bicentenario,,,21.02,-89.65,GreenBuild,UrbanMax,SN-43836,Acero,34 m²,31/03/21,17/10/24,15,En Mantenimiento,Excelente,,08/02/22,62598,45877,Presupuesto municipal,Sofía Vargas,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Uso comunitario con previa reservación.,,16/09/20,11/09/21,120,,Plan de mejora programado.,20/05/18,09/09/25 23:20
123610,Tanque elevado,Tanque elevado depósito elevado de agua.,6697,,Recursos hídricos,Infraestructura,,Parque el Capitán,,,25.66521872,-100.360811,SafeCity,SafePlay,SN-46024,Plástico,29 m²,07/12/19,27/12/24,25,Dañado,Regular,,03/06/16,138900,47475,Donación,Juan Pérez,Jardinería,http://manuales.parques.org/mantenimientoX.pdf,Cumplir normas de seguridad vigentes.,,03/09/22,25/02/24,24,,Activo en óptimas condiciones.,24/06/20,09/09/25 23:20
123611,Cisterna de agua,Cisterna de agua contenedor subterráneo de almacenamiento.,6698,,Recursos hídricos,Infraestructura,,Parque Metropolitano de León,,,31.72,-106.43,EcoPark Systems,ProLine,SN-33057,Plástico,143 m²,16/01/21,02/10/23,25,Retirado,Malo,,21/12/22,73337,62202,Donación,Luis Romero,Eventos,http://manuales.parques.org/mantenimientoX.pdf,Permitido solo con supervisión de personal.,,22/06/20,17/06/21,60,,Pendiente de reposición de piezas menores.,14/01/17,09/09/25 23:20
123612,Sensor de humedad,Sensor de humedad dispositivo para medir agua en suelo.,6699,,Recursos hídricos,Infraestructura,,Gran Parque La Plancha,,,20.97844437,-89.61172739,CityInfra,GreenLife,SN-71572,Plástico,47 m²,09/03/19,11/06/25,10,Activo,Bueno,,06/03/19,161704,104165,Concesión,Carlos Sánchez,Mantenimiento,http://manuales.parques.org/infraestructura.pdf,Uso exclusivo dentro del parque.,,01/01/24,29/06/24,60,,Revisión anual obligatoria.,07/06/16,09/09/25 23:20
123613,Aspersores de cañón,Aspersores de cañón aspersores de largo alcance.,6700,,Recursos hídricos,Infraestructura,,Bosque Los Colomos,,,20.70504496,-103.3902293,PlayTech,ProLine,SN-71473,Acero,113 m²,08/05/23,05/11/22,5,En Mantenimiento,Excelente,,14/03/15,315550,227612,Patrocinio,María López,Jardinería,http://manuales.parques.org/infraestructura.pdf,Uso comunitario con previa reservación.,,26/07/21,17/01/23,12,,Requiere inspección adicional en temporada de lluvias.,15/01/19,09/09/25 23:20
123614,Bomba eléctrica,Bomba eléctrica motor para presión hidráulica.,6701,,Recursos hídricos,Infraestructura,,Parque Las Ribieras ,,,24.82111084,-107.4005941,UrbanPlay,SafePlay,SN-97206,Mixto,156 m²,23/01/20,13/10/25,5,Dañado,Regular,,11/03/21,373662,144972,Ingreso propio,Luis Romero,Seguridad,http://manuales.parques.org/mobiliario.pdf,Cumplir normas de seguridad vigentes.,,05/10/20,03/04/21,60,,Plan de mejora programado.,20/09/20,09/09/25 23:20
123615,Red de mangueras,Red de mangueras conjunto flexible de conducción.,6702,,Áreas recreativas y de juego,Juegos infantiles,,Jardín Botánico de Culiacán,,,24.82376,-107.384967,AquaSolutions,ProLine,SN-60250,Madera,114 m²,26/01/19,15/10/24,15,Retirado,Malo,,13/10/19,278879,232036,Ingreso propio,Juan Pérez,Seguridad,http://manuales.parques.org/deportivo.pdf,Permitido solo con supervisión de personal.,,23/09/21,17/03/23,60,,Plan de mejora programado.,10/08/19,09/09/25 23:20
123616,Camioneta de mantenimiento,Camioneta de mantenimiento vehículo para servicios técnicos.,6703,,Vehículos y maquinaria,Vehículos de trabajo,,Parque Flor del Bosque,,,19.0211,-98.1011,CityInfra,UrbanMax,SN-71887,Mixto,155 m²,13/05/18,17/10/23,25,Activo,Bueno,,13/08/21,237646,79392,Presupuesto municipal,Luis Romero,Jardinería,http://manuales.parques.org/mobiliario.pdf,Uso comunitario con previa reservación.,,01/03/24,23/08/25,12,,Revisión anual obligatoria.,23/02/20,09/09/25 23:20
